species	long	lat	count	time	route_id
4	4.24236437	50.74067676	1	1496615340	35745
5	4.24262375	50.74082543	1	1496615400	35745
5	4.24481855	50.74163233	1	1496615640	35745
5	4.24738286	50.74231342	1	1496615820	35745
5	4.24742651	50.74245129	1	1496615820	35745
5	4.24704599	50.74278018	1	1496615880	35745
5	4.24719129	50.74268332	1	1496615880	35745
5	4.24665355	50.73933007	1	1496617020	35745
5	4.24689809	50.73960895	1	1496617020	35745
5	4.2470353	50.73974221	1	1496617080	35745
3	4.25097241	50.74110034	1	1496617440	35745
5	4.25243061	50.74168166	1	1496617620	35745
5	4.25386846	50.74100438	1	1496617800	35745
5	4.253961	50.74100684	1	1496617800	35745
5	4.25410614	50.74096629	1	1496617920	35745
5	4.25423234	50.74085874	1	1496617920	35745
5	4.25433458	50.74074816	1	1496617920	35745
5	4.25457319	50.74064334	1	1496617980	35745
3	4.25609251	50.73961477	1	1496618100	35745
5	4.25620098	50.73957527	1	1496618100	35745
5	4.25889181	50.73802093	1	1496618280	35745
5	4.25904073	50.73792142	1	1496618340	35745
5	4.25948843	50.73765212	1	1496618340	35745
5	4.25960962	50.73756893	1	1496618340	35745
5	4.25973689	50.73718349	1	1496618520	35745
5	4.26031019	50.73541286	1	1496619000	35745
5	4.26052252	50.73528842	1	1496619000	35745
5	4.2607472	50.73516265	1	1496619060	35745
5	4.26118039	50.73482533	1	1496619060	35745
5	4.26140841	50.73469774	1	1496619060	35745
7	4.25378337	50.73123601	1	1496619960	35745
5	4.24890665	50.73325496	1	1496620320	35745
5	4.24698101	50.7334448	1	1496620440	35745
5	4.24610333	50.73335327	1	1496620500	35745
5	4.24673177	50.73344297	1	1496620500	35745
5	4.24440204	50.73204289	1	1496620680	35745
5	4.24441125	50.73221066	1	1496620680	35745
5	4.24403519	50.73084149	1	1496620800	35745
5	4.2440438	50.73082584	1	1496620800	35745
5	4.24329133	50.7309532	1	1496620920	35745
5	4.23804524	50.73221992	1	1496621400	35745
5	4.23808384	50.73221979	1	1496621400	35745
5	4.23810545	50.73224748	1	1496621400	35745
5	4.23793748	50.7323304	1	1496621520	35745
5	4.23804783	50.73235258	1	1496621520	35745
5	4.23820098	50.73228259	1	1496621520	35745
5	4.23826828	50.73233139	1	1496621520	35745
5	4.2383553	50.73240064	1	1496621580	35745
5	4.2384381	50.7324891	1	1496621580	35745
5	4.23849107	50.73254717	1	1496621580	35745
5	4.23869099	50.73271393	1	1496621580	35745
5	4.24158365	50.73885249	1	1496622840	35745
5	4.24158467	50.73884776	1	1496622840	35745
5	4.24158485	50.73884796	1	1496622840	35745
5	4.24158533	50.73884812	1	1496622900	35745
5	4.24634972	50.73362894	1	1497133920	36309
1	4.24634419	50.73179213	1	1497134280	36309
5	4.24634423	50.73179208	1	1497134280	36309
5	4.2469657	50.73189679	1	1497134340	36309
5	4.24922392	50.7299106	1	1497134640	36309
5	4.24923583	50.7296619	1	1497134640	36309
5	4.24878786	50.72914375	1	1497134700	36309
5	4.24908234	50.72949484	1	1497134700	36309
1	4.24657251	50.72971857	1	1497134880	36309
5	4.24628619	50.72984674	1	1497134880	36309
5	4.24665546	50.72970265	1	1497134880	36309
5	4.24613835	50.72990698	1	1497134940	36309
5	4.24394559	50.73041024	1	1497135120	36309
5	4.24828649	50.72746002	1	1497135540	36309
5	4.24785261	50.72769112	1	1497135780	36309
5	4.24659146	50.72694616	1	1497135900	36309
5	4.23920016	50.73030916	1	1497136740	36309
5	4.23772723	50.73024466	1	1497136860	36309
5	4.2372581	50.73269899	1	1497137400	36309
5	4.23726084	50.73299708	1	1497137400	36309
5	4.2373172	50.73300298	1	1497137400	36309
5	4.23756801	50.73307839	1	1497137460	36309
5	4.23777696	50.7331548	1	1497137460	36309
5	4.23859975	50.73377289	1	1497137580	36309
5	4.23961216	50.73471454	1	1497137700	36309
5	4.23962227	50.73472509	1	1497137700	36309
5	4.23962235	50.73472481	1	1497137700	36309
5	4.23977126	50.73475196	1	1497137700	36309
5	4.23977198	50.73474742	1	1497137700	36309
5	4.23977291	50.7347531	1	1497137760	36309
5	4.23962612	50.73482218	1	1497137820	36309
5	4.23976564	50.73508059	1	1497137820	36309
5	4.2398388	50.73517184	1	1497137820	36309
5	4.23993529	50.73524093	1	1497137820	36309
5	4.23831819	50.73760904	1	1497138240	36309
5	4.23832052	50.73760498	1	1497138240	36309
5	4.23805597	50.73768325	1	1497138300	36309
5	4.23551986	50.73734217	1	1497138540	36309
5	4.23711673	50.73985136	1	1497139020	36309
5	4.23988155	50.74184309	1	1497139260	36309
5	4.24294018	50.73840882	1	1497139920	36309
5	4.25429714	50.73863069	1	1497912120	37444
6	4.25419237464666	50.738426150409	1	1497912120	37444
5	4.25399992	50.73891289	1	1497912180	37444
5	4.25409509	50.73882648	1	1497912180	37444
5	4.25148482	50.73841744	1	1497912720	37444
2	4.25009031	50.73964345	1	1497912960	37444
5	4.25000943	50.73985664	1	1497912960	37444
5	4.25009035	50.73965881	1	1497912960	37444
5	4.24941516	50.74028884	1	1497913020	37444
5	4.24824419	50.73940573	1	1497913140	37444
5	4.24944083	50.73780972	1	1497913320	37444
5	4.24900213	50.73800967	1	1497913440	37444
5	4.24768985	50.73867639	1	1497913680	37444
5	4.25247361	50.73889592	1	1497914460	37444
5	4.25258658	50.73902708	1	1497914460	37444
5	4.25260901	50.73901615	2	1497914460	37444
2	4.24361112	50.73289252	1	1498777620	38379
5	4.24384584	50.73093391	1	1498777860	38379
5	4.24054756	50.73047127	2	1498778520	38379
5	4.24039004	50.73065342	1	1498778580	38379
5	4.23733159	50.73065572	1	1498778820	38379
5	4.24091656	50.73229237	1	1498779240	38379
5	4.24187281	50.73326042	1	1498779480	38379
5	4.24163685	50.73385562	1	1498779540	38379
5	4.24225529	50.73436331	1	1498779600	38379
5	4.24234143	50.73445022	1	1498779600	38379
5	4.24449584	50.73532262	1	1498779900	38379
5	4.25226618	50.73205888	1	1498780620	38379
5	4.25238808	50.73199364	1	1498780620	38379
5	4.25274477	50.73182729	1	1498780620	38379
5	4.25425254	50.73510226	1	1498781160	38379
5	4.25447059	50.73497952	1	1498781160	38379
5	4.25264909	50.73610332	1	1498781280	38379
5	4.2509512	50.73524498	1	1498781400	38379
5	4.25115582	50.73532756	1	1498781400	38379
5	4.24951354	50.73481731	1	1498781460	38379
5	4.24817219	50.73475178	1	1498781580	38379
5	4.24823143	50.73486818	2	1498781580	38379
5	4.24837205	50.73493662	1	1498781580	38379
5	4.24914106	50.73543984	1	1498781640	38379
5	4.24887605	50.73669108	1	1498781820	38379
5	4.24900135	50.73676876	1	1498781820	38379
5	4.24840685	50.73649114	1	1498781880	38379
5	4.24833844	50.73643616	1	1498782060	38379
5	4.24745427	50.73586596	1	1498782180	38379
5	4.24841068	50.73456734	1	1501975200	41444
5	4.24883882	50.73439236	1	1501975260	41444
5	4.24896406	50.73445308	1	1501975260	41444
5	4.25025942	50.7350971	1	1501975380	41444
5	4.25142345	50.73521846	1	1501975440	41444
5	4.25778774	50.73387966	2	1501975980	41444
5	4.25395176	50.73308559	1	1501976160	41444
5	4.25454342	50.73322825	1	1501976160	41444
5	4.24841873	50.73462873	1	1501976520	41444
5	4.2490502	50.73537906	1	1501976640	41444
5	4.2502499	50.73605921	1	1501976700	41444
5	4.25121108	50.73795644	1	1501977000	41444
5	4.2523838	50.73881808	1	1501977060	41444
5	4.25524046	50.73565102	1	1501977480	41444
5	4.25548459	50.73555853	1	1501977480	41444
5	4.25583564	50.73543478	2	1501977540	41444
5	4.25601604	50.73539307	1	1501977540	41444
5	4.25859299	50.73555849	1	1501977660	41444
5	4.25877146	50.73556046	1	1501977720	41444
5	4.25919203	50.73557274	1	1501977720	41444
5	4.25039409	50.74152125	1	1501978860	41444
5	4.24976211	50.74079658	1	1501978920	41444
5	4.24980239	50.74076341	1	1501979040	41444
5	4.24980218	50.74076352	1	1501979100	41444
5	4.24776439	50.74048666	2	1501979580	41444
5	4.24810479	50.74077142	1	1501979580	41444
5	4.24683964	50.73949605	1	1501979700	41444
5	4.24706065	50.73979062	1	1501979700	41444
5	4.24647157	50.73906627	1	1501979760	41444
5	4.24653618	50.73919538	1	1501979760	41444
5	4.24670046	50.73931355	1	1501979760	41444
