"location","c130","height"
"DomLIM09590",125,35
"DomLIM09590",125,37
"DomLIM09590",135,23
"DomLIM09590",135,23.5
"DomLIM09590",135,24
"DomLIM09590",135,24
"DomLIM09590",135,25
"DomLIM09590",135,25
"DomLIM09590",135,25
"DomLIM09590",135,25
"DomLIM09590",135,25
"DomLIM09590",135,26
"DomLIM09590",135,26
"DomLIM09590",135,26
"DomLIM09590",135,26.5
"DomLIM09590",135,26.5
"DomLIM09590",135,31
"DomLIM09590",135,33
"DomLIM09590",135,34.5
"DomLIM09590",135,35
"DomLIM09590",135,36
"DomLIM09590",135,37
"DomLIM09590",145,25
"DomLIM09590",145,26
"DomLIM09590",145,26
"DomLIM09590",145,26
"DomLIM09590",145,27
"DomLIM09590",145,27
"DomLIM09590",145,29
"DomLIM09590",145,29.5
"DomLIM09590",145,29.5
"DomLIM09590",145,30
"DomLIM09590",145,30
"DomLIM09590",145,30.5
"DomLIM09590",145,30.5
"DomLIM09590",145,31
"DomLIM09590",145,31
"DomLIM09590",145,31
"DomLIM09590",145,31
"DomLIM09590",145,32
"DomLIM09590",145,35
"DomLIM09590",145,35
"DomLIM09590",145,36
"DomLIM09590",145,36
"DomLIM09590",145,37
"DomLIM09590",145,37
"DomLIM09590",145,38
"DomLIM09590",145,38
"DomLIM09590",155,29
"DomLIM09590",155,29.5
"DomLIM09590",155,30
"DomLIM09590",155,30.5
"DomLIM09590",155,30.5
"DomLIM09590",155,31
"DomLIM09590",155,31
"DomLIM09590",155,31
"DomLIM09590",155,31
"DomLIM09590",155,33
"DomLIM09590",155,33
"DomLIM09590",155,33
"DomLIM09590",155,33
"DomLIM09590",155,35
"DomLIM09590",155,35
"DomLIM09590",155,36
"DomLIM09590",155,38
"DomLIM09590",165,27.5
"DomLIM09590",165,27.5
"DomLIM09590",165,28.5
"DomLIM09590",165,30
"DomLIM09590",165,30
"DomLIM09590",165,31
"DomLIM09590",165,31
"DomLIM09590",165,31
"DomLIM09590",165,31
"DomLIM09590",165,31
"DomLIM09590",165,31.5
"DomLIM09590",165,32
"DomLIM09590",165,32.5
"DomLIM09590",165,33
"DomLIM09590",165,33
"DomLIM09590",175,29.5
"DomLIM09590",175,31
"DomLIM09590",175,32
"DomLIM09590",175,34
"DomLIM09590",185,30
"DomLIM09590",185,31
"DomLIM09590",185,32
"DomLIM09590",195,31
"DomLIM09590",195,31
"DomLIM09590",195,32
"DomLIM09590",205,28.5
"DomLIM09590",205,34.5
"DomLIM09590",215,33
"DomLIM09590",225,31
"DomLIM13125",55,11
"DomLIM13125",55,11
"DomLIM13125",55,11
"DomLIM13125",55,11
"DomLIM13125",65,11
"DomLIM13125",65,11
"DomLIM13125",65,11
"DomLIM13125",65,11
"DomLIM13125",65,12
"DomLIM13125",65,12
"DomLIM13125",65,12
"DomLIM13125",65,12
"DomLIM13125",65,12
"DomLIM13125",65,12
"DomLIM13125",75,12
"DomLIM13125",75,12
"DomLIM13125",95,24
"DomLIM13125",125,24
"DomLIM13125",125,24
"DomLIM13125",125,24
"DomLIM13125",125,28
"DomLIM13125",135,24
"DomLIM13125",135,24
"DomLIM13125",135,24
"DomLIM13125",135,24
"DomLIM13125",135,24
"DomLIM13125",135,24
"DomLIM13125",135,28
"DomLIM13125",135,28
"DomLIM13125",135,28
"DomLIM13125",135,28
"DomLIM13125",135,28
"DomLIM13125",135,28
"DomLIM13125",135,29
"DomLIM13125",145,24
"DomLIM13125",145,24
"DomLIM13125",145,24
"DomLIM13125",145,25
"DomLIM13125",145,25
"DomLIM13125",145,27
"DomLIM13125",145,28
"DomLIM13125",155,25
"DomLIM13125",155,25
"DomLIM13125",155,25
"DomLIM13125",155,28
"DomLIM13125",155,28
"DomLIM13125",165,25
"DomLIM13125",165,25
"DomLIM13125",165,28
"DomLIM13125",165,28
"DomLIM13125",165,28
"DomLIM13125",165,28
"DomLIM13125",165,28
"DomLIM13125",165,28
"DomLIM13125",165,28
"DomLIM13125",165,28
"DomLIM13125",165,28
"DomOVL09005",25,13.5
"DomOVL09005",35,7
"DomOVL09005",65,19
"DomOVL09005",85,28
"DomOVL09005",85,31
"DomOVL09005",95,27
"DomOVL09005",105,32.5
"DomOVL09005",115,32.2999992370605
"DomOVL09005",125,30
"DomOVL09005",125,32
"DomOVL09005",125,32.4000015258789
"DomOVL09005",125,33
"DomOVL09005",125,33
"DomOVL09005",125,33
"DomOVL09005",125,33
"DomOVL09005",125,33.5
"DomOVL09005",125,34
"DomOVL09005",125,34
"DomOVL09005",125,35.5
"DomOVL09005",125,37.5
"DomOVL09005",135,31
"DomOVL09005",135,32
"DomOVL09005",135,32
"DomOVL09005",135,34
"DomOVL09005",135,34.5
"DomOVL09005",135,34.5
"DomOVL09005",135,35.5
"DomOVL09005",135,36
"DomOVL09005",135,37
"DomOVL09005",135,39
"DomOVL09005",145,31
"DomOVL09005",145,31
"DomOVL09005",145,33.5
"DomOVL09005",145,34
"DomOVL09005",145,34
"DomOVL09005",145,38
"DomOVL09005",145,39
"DomOVL09005",145,39
"DomOVL09005",145,39.5
"DomOVL09005",155,27
"DomOVL09005",155,31
"DomOVL09005",155,32
"DomOVL09005",155,33
"DomOVL09005",155,33
"DomOVL09005",155,33
"DomOVL09005",155,34
"DomOVL09005",155,34.5
"DomOVL09005",155,35
"DomOVL09005",155,35.5
"DomOVL09005",155,35.5
"DomOVL09005",155,36.5
"DomOVL09005",155,39
"DomOVL09005",155,39
"DomOVL09005",165,27
"DomOVL09005",165,33
"DomOVL09005",165,33
"DomOVL09005",165,33.5
"DomOVL09005",165,34
"DomOVL09005",165,37.5
"DomOVL09005",165,39
"DomOVL09005",175,27
"DomOVL09005",175,34.5
"DomOVL09005",175,36
"DomOVL09005",175,36.5
"DomOVL09005",175,37
"DomOVL09005",175,37.5
"DomOVL09005",175,38
"DomOVL09005",175,39
"DomOVL09005",175,39
"DomOVL09005",175,39
"DomOVL09005",175,41.5
"DomOVL09005",185,18
"DomOVL09005",185,29
"DomOVL09005",185,29
"DomOVL09005",185,29
"DomOVL09005",185,30
"DomOVL09005",185,31
"DomOVL09005",185,32
"DomOVL09005",185,39
"DomOVL09005",185,39
"DomOVL09005",185,39
"DomOVL09005",185,39
"DomOVL09005",195,27
"DomOVL09005",195,28
"DomOVL09005",195,39
"DomOVL09005",195,39
"DomOVL09005",205,36.5
"DomOVL09005",205,36.5
"DomOVL09005",205,39
"DomOVL09005",215,30
"DomOVL09005",225,39
"DomOVL09005",235,38
"DomOVL09014",65,17.5
"DomOVL09014",75,28.5
"DomOVL09014",85,30
"DomOVL09014",85,31.5
"DomOVL09014",85,31.5
"DomOVL09014",85,34
"DomOVL09014",95,36.5
"DomOVL09014",105,31.5
"DomOVL09014",115,26.5
"DomOVL09014",115,29
"DomOVL09014",115,29
"DomOVL09014",115,30
"DomOVL09014",115,30
"DomOVL09014",115,31.5
"DomOVL09014",115,33.5
"DomOVL09014",115,33.5
"DomOVL09014",125,20
"DomOVL09014",125,28.5
"DomOVL09014",125,30
"DomOVL09014",125,30
"DomOVL09014",125,30
"DomOVL09014",125,30.5
"DomOVL09014",125,31
"DomOVL09014",125,31
"DomOVL09014",125,31
"DomOVL09014",125,31
"DomOVL09014",125,31.5
"DomOVL09014",125,31.5
"DomOVL09014",125,32
"DomOVL09014",125,32.5
"DomOVL09014",125,34
"DomOVL09014",125,34
"DomOVL09014",125,34.5
"DomOVL09014",125,35
"DomOVL09014",125,35.5
"DomOVL09014",125,38
"DomOVL09014",135,22.5
"DomOVL09014",135,28.5
"DomOVL09014",135,29.5
"DomOVL09014",135,30
"DomOVL09014",135,30.5
"DomOVL09014",135,30.5
"DomOVL09014",135,30.5
"DomOVL09014",135,31
"DomOVL09014",135,31
"DomOVL09014",135,31
"DomOVL09014",135,31
"DomOVL09014",135,31.5
"DomOVL09014",135,31.5
"DomOVL09014",135,31.5
"DomOVL09014",135,31.5
"DomOVL09014",135,32
"DomOVL09014",135,32.5
"DomOVL09014",135,32.5
"DomOVL09014",135,32.5
"DomOVL09014",135,33
"DomOVL09014",135,33
"DomOVL09014",135,33
"DomOVL09014",135,33
"DomOVL09014",135,33.5
"DomOVL09014",135,34.5
"DomOVL09014",135,34.5
"DomOVL09014",135,35
"DomOVL09014",135,35
"DomOVL09014",135,35.5
"DomOVL09014",135,35.5
"DomOVL09014",135,36
"DomOVL09014",135,37
"DomOVL09014",135,37
"DomOVL09014",135,37
"DomOVL09014",135,37
"DomOVL09014",135,37.5
"DomOVL09014",135,38
"DomOVL09014",135,39
"DomOVL09014",145,23
"DomOVL09014",145,28
"DomOVL09014",145,29
"DomOVL09014",145,29.5
"DomOVL09014",145,30
"DomOVL09014",145,30
"DomOVL09014",145,30.5
"DomOVL09014",145,30.5
"DomOVL09014",145,31
"DomOVL09014",145,31
"DomOVL09014",145,31
"DomOVL09014",145,31
"DomOVL09014",145,31
"DomOVL09014",145,31.5
"DomOVL09014",145,31.5
"DomOVL09014",145,31.5
"DomOVL09014",145,31.5
"DomOVL09014",145,32
"DomOVL09014",145,32
"DomOVL09014",145,32
"DomOVL09014",145,32.5
"DomOVL09014",145,32.5
"DomOVL09014",145,32.5
"DomOVL09014",145,32.5
"DomOVL09014",145,32.5
"DomOVL09014",145,33
"DomOVL09014",145,33
"DomOVL09014",145,33
"DomOVL09014",145,33
"DomOVL09014",145,33.5
"DomOVL09014",145,33.5
"DomOVL09014",145,34
"DomOVL09014",145,34
"DomOVL09014",145,34
"DomOVL09014",145,34
"DomOVL09014",145,34
"DomOVL09014",145,34.5
"DomOVL09014",145,34.5
"DomOVL09014",145,35
"DomOVL09014",145,35
"DomOVL09014",145,35
"DomOVL09014",145,35
"DomOVL09014",145,35
"DomOVL09014",145,35.5
"DomOVL09014",145,35.5999984741211
"DomOVL09014",145,36
"DomOVL09014",145,36.5
"DomOVL09014",145,37
"DomOVL09014",145,37
"DomOVL09014",145,37.5
"DomOVL09014",145,38
"DomOVL09014",145,38
"DomOVL09014",145,38.5
"DomOVL09014",145,40.5
"DomOVL09014",145,41
"DomOVL09014",155,28
"DomOVL09014",155,28.5
"DomOVL09014",155,29
"DomOVL09014",155,29
"DomOVL09014",155,29.5
"DomOVL09014",155,29.5
"DomOVL09014",155,30
"DomOVL09014",155,30
"DomOVL09014",155,30.5
"DomOVL09014",155,30.5
"DomOVL09014",155,31
"DomOVL09014",155,31.5
"DomOVL09014",155,31.5
"DomOVL09014",155,31.5
"DomOVL09014",155,32
"DomOVL09014",155,32
"DomOVL09014",155,32
"DomOVL09014",155,32
"DomOVL09014",155,32.5
"DomOVL09014",155,32.5
"DomOVL09014",155,32.5
"DomOVL09014",155,33
"DomOVL09014",155,33
"DomOVL09014",155,33.5
"DomOVL09014",155,33.5
"DomOVL09014",155,33.5
"DomOVL09014",155,34
"DomOVL09014",155,34
"DomOVL09014",155,34
"DomOVL09014",155,34
"DomOVL09014",155,34
"DomOVL09014",155,35
"DomOVL09014",155,35
"DomOVL09014",155,35
"DomOVL09014",155,35
"DomOVL09014",155,35.5
"DomOVL09014",155,35.5
"DomOVL09014",155,36
"DomOVL09014",155,36.5
"DomOVL09014",155,36.5
"DomOVL09014",155,37
"DomOVL09014",155,37
"DomOVL09014",155,37.5
"DomOVL09014",155,37.5
"DomOVL09014",155,38
"DomOVL09014",155,38
"DomOVL09014",155,38.5
"DomOVL09014",155,39.5
"DomOVL09014",155,41
"DomOVL09014",155,41
"DomOVL09014",155,44
"DomOVL09014",165,28
"DomOVL09014",165,30
"DomOVL09014",165,31
"DomOVL09014",165,31.5
"DomOVL09014",165,32
"DomOVL09014",165,32
"DomOVL09014",165,32
"DomOVL09014",165,32
"DomOVL09014",165,32.5
"DomOVL09014",165,32.5
"DomOVL09014",165,32.5
"DomOVL09014",165,32.5
"DomOVL09014",165,33
"DomOVL09014",165,33
"DomOVL09014",165,33.5
"DomOVL09014",165,33.5
"DomOVL09014",165,33.5
"DomOVL09014",165,34
"DomOVL09014",165,34
"DomOVL09014",165,34
"DomOVL09014",165,34
"DomOVL09014",165,34
"DomOVL09014",165,34.5
"DomOVL09014",165,35
"DomOVL09014",165,35
"DomOVL09014",165,35
"DomOVL09014",165,35
"DomOVL09014",165,35
"DomOVL09014",165,35.5
"DomOVL09014",165,35.5
"DomOVL09014",165,36
"DomOVL09014",165,36.5
"DomOVL09014",165,37
"DomOVL09014",165,37
"DomOVL09014",165,37
"DomOVL09014",165,37.5
"DomOVL09014",165,38
"DomOVL09014",165,38
"DomOVL09014",165,38.5
"DomOVL09014",165,39.5
"DomOVL09014",175,28
"DomOVL09014",175,30.5
"DomOVL09014",175,31
"DomOVL09014",175,31
"DomOVL09014",175,31
"DomOVL09014",175,31
"DomOVL09014",175,31.5
"DomOVL09014",175,32
"DomOVL09014",175,32
"DomOVL09014",175,32.5
"DomOVL09014",175,32.5
"DomOVL09014",175,32.5
"DomOVL09014",175,33
"DomOVL09014",175,33
"DomOVL09014",175,33
"DomOVL09014",175,33
"DomOVL09014",175,33.5
"DomOVL09014",175,34
"DomOVL09014",175,34
"DomOVL09014",175,34
"DomOVL09014",175,34.5
"DomOVL09014",175,35
"DomOVL09014",175,35
"DomOVL09014",175,35
"DomOVL09014",175,35
"DomOVL09014",175,35
"DomOVL09014",175,35.5
"DomOVL09014",175,36
"DomOVL09014",175,36.5
"DomOVL09014",175,37
"DomOVL09014",175,37.5
"DomOVL09014",175,38
"DomOVL09014",175,38
"DomOVL09014",175,38.5
"DomOVL09014",175,38.5
"DomOVL09014",175,39
"DomOVL09014",185,32.5
"DomOVL09014",185,32.5
"DomOVL09014",185,32.5
"DomOVL09014",185,32.5
"DomOVL09014",185,33
"DomOVL09014",185,33
"DomOVL09014",185,34
"DomOVL09014",185,35.5
"DomOVL09014",185,35.5
"DomOVL09014",185,36
"DomOVL09014",185,36
"DomOVL09014",185,37.5
"DomOVL09014",185,38
"DomOVL09014",185,38
"DomOVL09014",185,38.5
"DomOVL09014",185,39
"DomOVL09014",185,39
"DomOVL09014",185,39.5
"DomOVL09014",185,44.5
"DomOVL09014",195,29.5
"DomOVL09014",195,32.5
"DomOVL09014",195,33
"DomOVL09014",195,33.5
"DomOVL09014",195,34
"DomOVL09014",195,34.5
"DomOVL09014",195,34.5
"DomOVL09014",195,35
"DomOVL09014",195,37
"DomOVL09014",195,39
"DomOVL09014",195,41
"DomOVL09014",205,33
"DomOVL09014",205,35
"DomOVL09014",205,38.5
"DomOVL09014",205,39
"DomOVL09014",215,28.5
"DomOVL09014",215,30
"DomOVL09014",215,33
"DomOVL09014",215,35
"DomOVL09014",215,36
"DomOVL09014",215,43
"DomOVL09014",235,38
"DomOVL09167",35,16
"DomOVL09167",75,20
"DomOVL09167",85,21
"DomOVL09167",95,21
"DomOVL09167",95,21
"DomOVL09167",95,21
"DomOVL09167",95,21
"DomOVL09167",105,21
"DomOVL09167",115,30
"DomOVL09167",115,31
"DomOVL09167",125,30
"DomOVL09167",125,30
"DomOVL09167",125,31
"DomOVL09167",125,31
"DomOVL09167",125,31
"DomOVL09167",125,32
"DomOVL09167",125,33
"DomOVL09167",125,33
"DomOVL09167",125,33
"DomOVL09167",125,33
"DomOVL09167",125,33
"DomOVL09167",125,34
"DomOVL09167",125,34
"DomOVL09167",125,34
"DomOVL09167",125,34
"DomOVL09167",125,34
"DomOVL09167",125,34
"DomOVL09167",125,34
"DomOVL09167",125,34
"DomOVL09167",125,34
"DomOVL09167",125,34
"DomOVL09167",125,34
"DomOVL09167",125,34
"DomOVL09167",125,34
"DomOVL09167",135,30
"DomOVL09167",135,31
"DomOVL09167",135,31
"DomOVL09167",135,31
"DomOVL09167",135,32
"DomOVL09167",135,32
"DomOVL09167",135,32
"DomOVL09167",135,33
"DomOVL09167",135,33
"DomOVL09167",135,33
"DomOVL09167",135,34
"DomOVL09167",135,34
"DomOVL09167",135,34
"DomOVL09167",135,34
"DomOVL09167",135,34
"DomOVL09167",135,34
"DomOVL09167",135,34
"DomOVL09167",135,34
"DomOVL09167",135,34
"DomOVL09167",135,34
"DomOVL09167",135,34
"DomOVL09167",135,34
"DomOVL09167",135,34
"DomOVL09167",135,34
"DomOVL09167",135,34
"DomOVL09167",135,34
"DomOVL09167",135,34
"DomOVL09167",135,34
"DomOVL09167",135,34
"DomOVL09167",135,34
"DomOVL09167",135,34
"DomOVL09167",135,34
"DomOVL09167",135,34
"DomOVL09167",135,34
"DomOVL09167",135,34
"DomOVL09167",135,34
"DomOVL09167",135,35
"DomOVL09167",135,35
"DomOVL09167",135,35
"DomOVL09167",135,36
"DomOVL09167",145,29
"DomOVL09167",145,31
"DomOVL09167",145,32
"DomOVL09167",145,33
"DomOVL09167",145,33
"DomOVL09167",145,33
"DomOVL09167",145,33
"DomOVL09167",145,33
"DomOVL09167",145,33
"DomOVL09167",145,33
"DomOVL09167",145,33
"DomOVL09167",145,34
"DomOVL09167",145,34
"DomOVL09167",145,34
"DomOVL09167",145,34
"DomOVL09167",145,34
"DomOVL09167",145,34
"DomOVL09167",145,34
"DomOVL09167",145,34
"DomOVL09167",145,34
"DomOVL09167",145,34
"DomOVL09167",145,34
"DomOVL09167",145,34
"DomOVL09167",145,34
"DomOVL09167",145,34
"DomOVL09167",145,34
"DomOVL09167",145,34
"DomOVL09167",145,34
"DomOVL09167",145,34
"DomOVL09167",145,34
"DomOVL09167",145,34
"DomOVL09167",145,34
"DomOVL09167",145,34
"DomOVL09167",145,35
"DomOVL09167",145,35
"DomOVL09167",145,35
"DomOVL09167",145,35
"DomOVL09167",145,35
"DomOVL09167",145,36
"DomOVL09167",145,36
"DomOVL09167",145,36
"DomOVL09167",145,36
"DomOVL09167",145,36
"DomOVL09167",145,37
"DomOVL09167",155,30
"DomOVL09167",155,31
"DomOVL09167",155,33
"DomOVL09167",155,33
"DomOVL09167",155,34
"DomOVL09167",155,34
"DomOVL09167",155,34
"DomOVL09167",155,34
"DomOVL09167",155,34
"DomOVL09167",155,34
"DomOVL09167",155,34
"DomOVL09167",155,34
"DomOVL09167",155,34
"DomOVL09167",155,34
"DomOVL09167",155,35
"DomOVL09167",155,35
"DomOVL09167",155,35
"DomOVL09167",155,35
"DomOVL09167",155,35
"DomOVL09167",155,35
"DomOVL09167",155,35
"DomOVL09167",155,36
"DomOVL09167",155,36
"DomOVL09167",155,36
"DomOVL09167",155,36
"DomOVL09167",155,36
"DomOVL09167",155,36
"DomOVL09167",155,36
"DomOVL09167",155,36
"DomOVL09167",155,36
"DomOVL09167",155,37
"DomOVL09167",155,37
"DomOVL09167",155,37
"DomOVL09167",155,37
"DomOVL09167",165,31
"DomOVL09167",165,33
"DomOVL09167",165,34
"DomOVL09167",165,34
"DomOVL09167",165,34
"DomOVL09167",165,34
"DomOVL09167",165,34
"DomOVL09167",165,34
"DomOVL09167",165,34
"DomOVL09167",165,34
"DomOVL09167",165,35
"DomOVL09167",165,35
"DomOVL09167",165,35
"DomOVL09167",165,35
"DomOVL09167",165,35
"DomOVL09167",165,35
"DomOVL09167",165,35
"DomOVL09167",165,35
"DomOVL09167",165,35
"DomOVL09167",165,36
"DomOVL09167",165,36
"DomOVL09167",165,36
"DomOVL09167",165,36
"DomOVL09167",165,36
"DomOVL09167",165,36
"DomOVL09167",165,37
"DomOVL09167",165,37
"DomOVL09167",165,37
"DomOVL09167",165,37
"DomOVL09167",165,37
"DomOVL09167",175,30
"DomOVL09167",175,33
"DomOVL09167",175,33
"DomOVL09167",175,33
"DomOVL09167",175,34
"DomOVL09167",175,34
"DomOVL09167",175,34
"DomOVL09167",175,34
"DomOVL09167",175,35
"DomOVL09167",175,36
"DomOVL09167",175,37
"DomOVL09167",175,37
"DomOVL09167",175,38
"DomOVL09167",175,38
"DomOVL09167",185,34
"DomOVL09167",185,34
"DomOVL09167",185,34
"DomOVL09167",185,35
"DomOVL09167",185,35
"DomOVL09167",185,36
"DomOVL09167",185,37
"DomOVL09167",185,37
"DomOVL09167",185,37
"DomOVL09167",185,37
"DomOVL09167",185,38
"DomOVL09167",195,34
"DomOVL09167",195,35
"DomOVL09167",195,35
"DomOVL09167",195,35
"DomOVL09167",195,35
"DomOVL09167",195,37
"DomOVL09167",195,37
"DomOVL09167",195,37
"DomOVL09167",195,37
"DomOVL09167",195,38
"DomOVL09167",195,42
"DomOVL09167",205,34
"DomOVL09167",205,34
"DomOVL09167",205,35
"DomOVL09167",205,35
"DomOVL09167",205,35
"DomOVL09167",205,35
"DomOVL09167",205,37
"DomOVL09167",205,37
"DomOVL09167",205,38
